FPR;Precision
0.471;0.003
0.471;0.003
0.471;0.003
0.471;0.003
0.47;0.003
0.47;0.003
0.47;0.003
0.469;0.003
0.469;0.003
0.469;0.003
0.469;0.003
0.468;0.003
0.468;0.003
0.468;0.003
0.467;0.003
0.467;0.003
0.467;0.003
0.466;0.003
0.466;0.003
0.466;0.003
0.466;0.003
0.465;0.003
0.465;0.003
0.465;0.003
0.464;0.003
0.464;0.003
0.464;0.003
0.464;0.003
0.463;0.003
0.463;0.003
0.463;0.003
0.463;0.003
0.462;0.003
0.462;0.003
0.462;0.003
0.462;0.003
0.461;0.003
0.461;0.003
0.461;0.003
0.46;0.003
0.46;0.003
0.46;0.003
0.46;0.003
0.459;0.003
0.459;0.003
0.459;0.003
0.458;0.003
0.458;0.003
0.458;0.003
0.458;0.003
0.457;0.003
0.457;0.003
0.457;0.003
0.457;0.003
0.456;0.003
0.456;0.003
0.456;0.003
0.456;0.003
0.455;0.003
0.455;0.003
0.455;0.003
0.454;0.003
0.454;0.003
0.454;0.003
0.454;0.003
0.453;0.003
0.453;0.003
0.453;0.003
0.453;0.003
0.452;0.003
0.452;0.003
0.452;0.003
0.451;0.003
0.451;0.003
0.451;0.003
0.451;0.003
0.45;0.003
0.449;0.003
0.449;0.003
0.448;0.003
0.448;0.003
0.448;0.003
0.448;0.003
0.447;0.003
0.447;0.003
0.447;0.003
0.447;0.003
0.446;0.003
0.446;0.003
0.446;0.003
0.446;0.003
0.445;0.003
0.445;0.003
0.445;0.003
0.445;0.003
0.445;0.003
0.444;0.003
0.444;0.003
0.444;0.003
0.444;0.003
0.444;0.003
0.443;0.003
0.443;0.003
0.443;0.003
0.443;0.003
0.442;0.003
0.442;0.003
0.442;0.003
0.442;0.003
0.441;0.003
0.441;0.003
0.441;0.003
0.441;0.003
0.44;0.003
0.44;0.003
0.44;0.003
0.44;0.003
0.44;0.003
0.439;0.003
0.439;0.003
0.439;0.003
0.439;0.003
0.439;0.003
0.438;0.003
0.438;0.003
0.438;0.003
0.438;0.003
0.437;0.003
0.437;0.003
0.437;0.003
0.437;0.003
0.436;0.003
0.436;0.003
0.436;0.003
0.436;0.003
0.436;0.003
0.435;0.003
0.435;0.003
0.435;0.003
0.435;0.003
0.435;0.003
0.434;0.003
0.434;0.003
0.434;0.003
0.434;0.003
0.434;0.003
0.433;0.003
0.433;0.003
0.433;0.003
0.433;0.003
0.433;0.003
0.433;0.003
0.432;0.003
0.432;0.003
0.432;0.003
0.432;0.003
0.432;0.003
0.431;0.003
0.431;0.003
0.431;0.003
0.431;0.003
0.431;0.003
0.43;0.003
0.43;0.003
0.43;0.003
0.43;0.003
0.429;0.003
0.429;0.003
0.429;0.003
0.429;0.003
0.429;0.003
0.428;0.003
0.428;0.003
0.428;0.003
0.428;0.003
0.428;0.003
0.427;0.003
0.427;0.003
0.427;0.003
0.427;0.003
0.427;0.003
0.426;0.003
0.426;0.003
0.426;0.003
0.426;0.003
0.426;0.003
0.425;0.003
0.425;0.003
0.425;0.003
0.425;0.003
0.425;0.003
0.424;0.003
0.424;0.003
0.424;0.003
0.424;0.003
0.424;0.003
0.423;0.003
0.423;0.003
0.422;0.003
0.422;0.003
0.422;0.003
0.422;0.003
0.422;0.003
0.421;0.003
0.421;0.003
0.421;0.003
0.421;0.003
0.42;0.003
0.42;0.003
0.42;0.003
0.42;0.003
0.42;0.003
0.419;0.003
0.419;0.003
0.419;0.003
0.419;0.003
0.419;0.003
0.419;0.003
0.418;0.003
0.418;0.003
0.418;0.003
0.418;0.003
0.418;0.003
0.417;0.003
0.417;0.003
0.417;0.003
0.417;0.003
0.417;0.003
0.416;0.003
0.416;0.003
0.416;0.003
0.416;0.003
0.416;0.003
0.415;0.003
0.415;0.003
0.415;0.003
0.415;0.003
0.415;0.003
0.414;0.003
0.414;0.003
0.414;0.003
0.414;0.003
0.414;0.003
0.414;0.003
0.413;0.003
0.413;0.003
0.413;0.003
0.413;0.003
0.413;0.003
0.412;0.003
0.412;0.003
0.412;0.003
0.412;0.003
0.412;0.003
0.412;0.003
0.411;0.003
0.411;0.003
0.411;0.003
0.411;0.003
0.411;0.003
0.41;0.003
0.41;0.003
0.41;0.003
0.41;0.003
0.41;0.003
0.409;0.003
0.409;0.003
0.409;0.003
0.409;0.003
0.409;0.003
0.408;0.003
0.408;0.003
0.408;0.003
0.408;0.003
0.408;0.003
0.408;0.003
0.408;0.003
0.407;0.003
0.407;0.003
0.407;0.003
0.407;0.003
0.406;0.003
0.406;0.003
0.406;0.003
0.406;0.003
0.406;0.003
0.406;0.003
0.406;0.003
0.405;0.003
0.405;0.003
0.405;0.003
0.405;0.003
0.405;0.003
0.404;0.003
0.404;0.003
0.404;0.003
0.404;0.003
0.404;0.003
0.404;0.003
0.403;0.003
0.403;0.003
0.403;0.003
0.403;0.003
0.403;0.003
0.402;0.003
0.402;0.003
0.402;0.003
0.402;0.003
0.402;0.003
0.401;0.003
0.401;0.003
0.401;0.003
0.401;0.003
0.401;0.003
0.4;0.003
0.4;0.003
0.4;0.003
0.4;0.003
0.4;0.003
0.4;0.003
0.399;0.003
0.399;0.003
0.399;0.003
0.399;0.003
0.399;0.003
0.398;0.003
0.398;0.003
0.398;0.003
0.398;0.003
0.398;0.003
0.398;0.003
0.398;0.003
0.398;0.003
0.397;0.003
0.397;0.003
0.397;0.003
0.397;0.003
0.397;0.003
0.397;0.003
0.397;0.003
0.396;0.003
0.396;0.003
0.396;0.003
0.396;0.003
0.396;0.003
0.396;0.003
0.396;0.003
0.395;0.003
0.395;0.003
0.395;0.003
0.395;0.003
0.395;0.003
0.395;0.003
0.394;0.003
0.394;0.003
0.394;0.003
0.394;0.003
0.394;0.003
0.394;0.003
0.394;0.003
0.393;0.003
0.393;0.003
0.393;0.003
0.393;0.003
0.393;0.003
0.393;0.003
0.393;0.003
0.392;0.003
0.392;0.003
0.392;0.003
0.392;0.003
0.392;0.003
0.392;0.003
0.392;0.003
0.391;0.003
0.391;0.003
0.391;0.003
0.391;0.003
0.391;0.003
0.391;0.003
0.39;0.003
0.39;0.003
0.39;0.003
0.39;0.003
0.39;0.003
0.39;0.003
0.39;0.003
0.389;0.003
0.389;0.003
0.389;0.003
0.389;0.003
0.389;0.003
0.389;0.003
0.389;0.003
0.389;0.003
0.388;0.003
0.388;0.003
0.388;0.003
0.388;0.003
0.388;0.003
0.388;0.003
0.387;0.003
0.387;0.003
0.387;0.003
0.387;0.003
0.387;0.003
0.387;0.003
0.386;0.003
0.386;0.003
0.386;0.003
0.386;0.003
0.386;0.003
